date,1_year
2013-09-13,3.6106
2013-09-16,3.5906
2013-09-17,3.5906
2013-09-18,3.5906
2013-09-22,3.573
2013-09-23,3.5881
2013-09-24,3.61
2013-09-25,3.6
2013-09-26,3.5501
2013-09-27,3.5501
2013-09-29,3.5601
2013-09-30,3.5451
2013-10-08,3.5451
2013-10-09,3.5539
2013-10-10,3.5627
2013-10-11,3.5427
2013-10-12,3.5427
2013-10-14,3.5427
2013-10-15,3.5169
2013-10-16,3.5169
2013-10-17,3.5469
2013-10-18,3.5469
2013-10-21,3.5522
2013-10-22,3.5522
2013-10-23,3.5645
2013-10-24,3.6445
2013-10-25,3.7445
2013-10-28,3.7649
2013-10-29,3.7852
2013-10-30,4.0152
2013-10-31,3.9752
2013-11-01,3.9422
2013-11-04,3.9222
2013-11-05,3.9522
2013-11-06,3.9752
2013-11-07,4.0118
2013-11-08,4.0214
2013-11-11,4.1587
2013-11-12,4.1209
2013-11-13,4.1142
2013-11-14,4.0956
2013-11-15,4.1454
2013-11-18,4.156
2013-11-19,4.1362
2013-11-20,4.1808
2013-11-21,4.156
2013-11-22,4.1265
2013-11-25,4.1215
2013-11-26,4.1067
2013-11-27,4.1017
2013-11-28,4.0472
2013-11-29,3.9787
2013-12-02,4.0385
2013-12-03,4.0484
2013-12-04,4.0029
2013-12-05,4.0341
2013-12-06,4.0364
2013-12-09,4.0364
2013-12-10,4.0284
2013-12-11,4.0489
2013-12-12,4.0336
2013-12-13,4.034
2013-12-16,4.039
2013-12-17,4.029
2013-12-18,4.0689
2013-12-19,4.0953
2013-12-20,4.1053
2013-12-23,4.1253
2013-12-24,4.1546
2013-12-25,4.1546
2013-12-26,4.1546
2013-12-27,4.1496
2013-12-30,4.1522
2013-12-31,4.2189
2014-01-02,4.2251
2014-01-03,4.231
2014-01-06,4.2132
2014-01-07,4.2503
2014-01-08,4.181
2014-01-09,4.1839
2014-01-10,4.1339
2014-01-13,4.0615
2014-01-14,4.0384
2014-01-15,3.9984
2014-01-16,3.9584
2014-01-17,3.9163
2014-01-20,3.891
2014-01-21,3.7799
2014-01-22,3.73
2014-01-23,3.6974
2014-01-24,3.678
2014-01-26,3.639
2014-01-27,3.6054
2014-01-28,3.6054
2014-01-29,3.6044
2014-01-30,3.6094
2014-02-07,3.5653
2014-02-08,3.5839
2014-02-10,3.5039
2014-02-11,3.5517
2014-02-12,3.5448
2014-02-13,3.4683
2014-02-14,3.4654
2014-02-17,3.4339
2014-02-18,3.4061
2014-02-19,3.3925
2014-02-20,3.3585
2014-02-21,3.3523
2014-02-24,3.3503
2014-02-25,3.294
2014-02-26,3.2764
2014-02-27,3.2464
2014-02-28,3.2775
2014-03-03,3.3075
2014-03-04,3.3325
2014-03-05,3.2933
2014-03-06,3.2733
2014-03-07,3.2509
2014-03-10,3.2002
2014-03-11,3.2401
2014-03-12,3.2083
2014-03-13,3.1621
2014-03-14,3.1621
2014-03-17,3.1133
2014-03-18,3.1033
2014-03-19,3.1333
2014-03-20,3.1133
2014-03-21,3.1433
2014-03-24,3.1233
2014-03-25,3.1033
2014-03-26,3.1033
2014-03-27,3.0995
2014-03-28,3.1095
2014-03-31,3.0901
2014-04-01,3.0892
2014-04-02,3.0892
2014-04-03,3.0851
2014-04-04,3.1158
2014-04-08,3.1759
2014-04-09,3.2659
2014-04-10,3.3147
2014-04-11,3.5647
2014-04-14,3.5574
2014-04-15,3.5374
2014-04-16,3.5174
2014-04-17,3.4003
2014-04-18,3.5003
2014-04-21,3.6059
2014-04-22,3.5786
2014-04-23,3.581
2014-04-24,3.6141
2014-04-25,3.5944
2014-04-28,3.5957
2014-04-29,3.5808
2014-04-30,3.5774
2014-05-04,3.5562
2014-05-05,3.5613
2014-05-06,3.5509
2014-05-07,3.5267
2014-05-08,3.497
2014-05-09,3.4687
2014-05-12,3.4974
2014-05-13,3.5024
2014-05-14,3.5132
2014-05-15,3.5126
2014-05-16,3.5139
2014-05-19,3.4882
2014-05-20,3.5036
2014-05-21,3.5037
2014-05-22,3.4682
2014-05-23,3.4584
2014-05-26,3.4562
2014-05-27,3.3587
2014-05-28,3.3732
2014-05-29,3.3589
2014-05-30,3.3589
2014-06-03,3.3139
2014-06-04,3.2339
2014-06-05,3.1739
2014-06-06,3.1939
2014-06-09,3.1739
2014-06-10,3.1489
2014-06-11,3.2489
2014-06-12,3.3289
2014-06-13,3.3489
2014-06-16,3.3298
2014-06-17,3.3498
2014-06-18,3.3898
2014-06-19,3.4123
2014-06-20,3.4039
2014-06-23,3.3788
2014-06-24,3.3805
2014-06-25,3.3901
2014-06-26,3.3615
2014-06-27,3.364
2014-06-30,3.3814
2014-07-01,3.405
2014-07-02,3.4561
2014-07-03,3.4656
2014-07-04,3.4506
2014-07-07,3.4441
2014-07-08,3.4326
2014-07-09,3.4839
2014-07-10,3.5115
2014-07-11,3.5115
2014-07-14,3.5196
2014-07-15,3.5893
2014-07-16,3.7277
2014-07-17,3.7771
2014-07-18,3.8653
2014-07-21,3.8088
2014-07-22,3.7799
2014-07-23,3.7794
2014-07-24,3.7369
2014-07-25,3.7238
2014-07-28,3.7274
2014-07-29,3.7576
2014-07-30,3.7576
2014-07-31,3.738
2014-08-01,3.7231
2014-08-04,3.7131
2014-08-05,3.7165
2014-08-06,3.7112
2014-08-07,3.7014
2014-08-08,3.703
2014-08-11,3.728
2014-08-12,3.748
